iShares Russell 1000 ETF
Fund Holdings as of,"Sep 11, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"117,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CME","CME GROUP CLASS A","Financials","Equity","69,246,784.02","0.14","69,246,784.02","251,313.00","275.54","United States","NASDAQ","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","68,286,450.07","0.14","68,286,450.07","783,371.00","87.17","United States","NYSE","USD","1.00","USD","-"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","68,273,850.70","0.14","68,273,850.70","265,595.00","257.06","United States","NYSE","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP","Financials","Equity","68,090,692.64","0.14","68,090,692.64","278,786.00","244.24","United States","NYSE","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","67,897,551.72","0.14","67,897,551.72","1,080,483.00","62.84","United States","NYSE","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","67,879,912.88","0.14","67,879,912.88","153,394.00","442.52","United States","NYSE","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","67,461,893.10","0.14","67,461,893.10","103,695.00","650.58","United States","NYSE","USD","1.00","USD","-"
"NET","CLOUDFLARE CLASS A","Information Technology","Equity","67,326,555.73","0.14","67,326,555.73","219,641.00","306.53","United States","NYSE","USD","1.00","USD","-"
"BX","BLACKSTONE","Financials","Equity","66,438,513.41","0.14","66,438,513.41","516,991.00","128.51","United States","NYSE","USD","1.00","USD","-"
"SYK","STRYKER","Health Care","Equity","66,116,488.60","0.13","66,116,488.60","239,935.00","275.56","United States","NYSE","USD","1.00","USD","-"
"FTNT","FORTINET","Information Technology","Equity","65,686,429.46","0.13","65,686,429.46","420,878.00","156.07","United States","NASDAQ","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","64,592,964.38","0.13","64,592,964.38","540,889.00","119.42","United States","NYSE","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","63,434,042.25","0.13","63,434,042.25","222,771.00","284.75","United States","NASDAQ","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE","Industrials","Equity","63,429,532.89","0.13","63,429,532.89","276,249.00","229.61","United States","NYSE","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","63,242,006.40","0.13","63,242,006.40","177,696.00","355.90","United States","NYSE","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","63,145,488.32","0.13","63,145,488.32","150,806.00","418.72","United States","NYSE","USD","1.00","USD","-"
"CSX","CSX","Industrials","Equity","63,121,808.20","0.13","63,121,808.20","1,289,516.00","48.95","United States","NASDAQ","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","62,073,669.33","0.13","62,073,669.33","425,133.00","146.01","United States","NYSE","USD","1.00","USD","-"
"CMCSA","COMCAST CLASS A","Communication","Equity","62,039,703.60","0.13","62,039,703.60","2,461,893.00","25.20","United States","NASDAQ","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","61,726,909.85","0.13","61,726,909.85","338,545.00","182.33","United States","NASDAQ","USD","1.00","USD","-"
"WMB","WILLIAMS","Energy","Equity","61,684,353.35","0.13","61,684,353.35","846,731.00","72.85","United States","NYSE","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","61,439,988.20","0.13","61,439,988.20","390,343.00","157.40","United States","NYSE","USD","1.00","USD","-"
"INTU","INTUIT","Information Technology","Equity","60,426,540.27","0.12","60,426,540.27","187,911.00","321.57","United States","NASDAQ","USD","1.00","USD","-"
"HOOD","ROBINHOOD MARKETS CLASS A","Financials","Equity","59,924,050.39","0.12","59,924,050.39","532,327.00","112.57","United States","NASDAQ","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","59,817,297.15","0.12","59,817,297.15","362,595.00","164.97","United States","NYSE","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","59,401,887.66","0.12","59,401,887.66","390,314.00","152.19","United States","NYSE","USD","1.00","USD","-"
"MRSH","MARSH","Financials","Equity","59,249,458.83","0.12","59,249,458.83","334,913.00","176.91","United States","NYSE","USD","1.00","USD","-"
"SLB","SLB","Energy","Equity","58,245,050.62","0.12","58,245,050.62","1,038,977.00","56.06","United States","NYSE","USD","1.00","USD","-"
"SPOT","SPOTIFY TECHNOLOGY","Communication","Equity","57,686,867.25","0.12","57,686,867.25","109,723.00","525.75","Sweden","NYSE","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT","Real Estate","Equity","57,602,235.85","0.12","57,602,235.85","323,881.00","177.85","United States","NYSE","USD","1.00","USD","-"
"HPE","HEWLETT PACKARD ENTERPRISE","Information Technology","Equity","56,879,034.66","0.12","56,879,034.66","916,074.00","62.09","United States","NYSE","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","55,448,218.56","0.11","55,448,218.56","888,024.00","62.44","United States","NASDAQ","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS","Information Technology","Equity","55,386,575.48","0.11","55,386,575.48","191,404.00","289.37","United States","NASDAQ","USD","1.00","USD","-"
"SPCX","SPACE EXPLORATION TECHNOLOGIES COR","Communication","Equity","55,339,987.01","0.11","55,339,987.01","365,981.00","151.21","United States","NASDAQ","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","55,194,565.66","0.11","55,194,565.66","258,571.00","213.46","United States","NYSE","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES","Financials","Equity","55,019,703.20","0.11","55,019,703.20","146,641.00","375.20","United States","NYSE","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS","Health Care","Equity","54,897,328.03","0.11","54,897,328.03","70,247.00","781.49","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","54,867,416.93","0.11","54,867,416.93","54,867,417.00","1.00","United States","-","USD","1.00","USD","-"
"EOG","EOG RESOURCES","Energy","Equity","54,832,508.64","0.11","54,832,508.64","372,099.00","147.36","United States","NYSE","USD","1.00","USD","-"
"APP","APPLOVIN CLASS A","Communication","Equity","53,977,891.24","0.11","53,977,891.24","166,619.00","323.96","United States","NASDAQ","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","53,591,507.84","0.11","53,591,507.84","199,849.00","268.16","United States","NYSE","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","53,496,521.60","0.11","53,496,521.60","114,760.00","466.16","United States","NYSE","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","53,400,594.66","0.11","53,400,594.66","623,693.00","85.62","United States","NYSE","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","53,398,449.25","0.11","53,398,449.25","95,911.00","556.75","United States","NYSE","USD","1.00","USD","-"
"DASH","DOORDASH CLASS A","Consumer Discretionary","Equity","52,587,376.10","0.11","52,587,376.10","260,398.00","201.95","United States","NASDAQ","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","52,040,300.91","0.11","52,040,300.91","160,961.00","323.31","United States","NYSE","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","51,848,370.08","0.11","51,848,370.08","517,036.00","100.28","United States","NYSE","USD","1.00","USD","-"
"BE","BLOOM ENERGY CLASS A","Industrials","Equity","51,531,057.00","0.11","51,531,057.00","186,876.00","275.75","United States","NYSE","USD","1.00","USD","-"
"SNPS","SYNOPSYS","Information Technology","Equity","51,203,605.14","0.10","51,203,605.14","128,853.00","397.38","United States","NASDAQ","USD","1.00","USD","-"
"MAR","MARRIOTT INTERNATIONAL CLASS A","Consumer Discretionary","Equity","50,720,596.05","0.10","50,720,596.05","151,545.00","334.69","United States","NASDAQ","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","50,710,871.20","0.10","50,710,871.20","180,620.00","280.76","United States","NYSE","USD","1.00","USD","-"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","50,484,767.41","0.10","50,484,767.41","228,221.00","221.21","United States","NASDAQ","USD","1.00","USD","-"
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","50,426,842.56","0.10","50,426,842.56","218,544.00","230.74","United States","NASDAQ","USD","1.00","USD","-"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","50,079,018.55","0.10","50,079,018.55","156,365.00","320.27","United States","NYSE","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","49,324,032.45","0.10","49,324,032.45","103,851.00","474.95","United States","NYSE","USD","1.00","USD","-"
